user_id,age,registration_date,email,workout_frequency
1,44,2024-02-12,user1@example.com,
2,,2024-03-12,user2@example.com,MINIMAL
3,,2024-03-27,user3@example.com,MINIMAL
4,20,2024-05-05,user4@example.com,flexible
5,59,2023-12-20,user5@example.com,maximal
6,24,2023-05-06,user6@example.com,MINIMAL
7,,2024-06-01,user7@example.com,minimal
8,,2023-09-11,user8@example.com,regular
9,23,2023-09-15,user9@example.com,MAXIMAL
10,,2023-10-05,user10@example.com,minimal
11,,2023-04-06,user11@example.com,MAXIMAL
12,,2023-09-06,user12@example.com,flexible
13,39,2023-11-17,user13@example.com,Flexible
14,,2023-05-12,user14@example.com,
15,41,2024-01-24,user15@example.com,minimal
16,24,,user16@example.com,Flexible
17,37,2023-11-25,user17@example.com,flexible
18,,2023-01-14,user18@example.com,flexible
19,39,2023-07-03,user19@example.com,minimal
20,48,,,
21,,2023-06-03,user21@example.com,minimal
22,,2023-09-24,user22@example.com,
23,,2023-04-23,user23@example.com,regular
24,52,2024-03-09,user24@example.com,minimal
25,60,2024-02-15,user25@example.com,flexible
26,,2023-05-13,user26@example.com,
27,,2023-05-05,user27@example.com,
28,,2023-09-07,user28@example.com,flexible
29,,2023-10-17,user29@example.com,maximal
30,,2024-04-27,user30@example.com,MINIMAL
31,21,2023-01-22,user31@example.com,MAXIMAL
32,28,2024-06-22,user32@example.com,MAXIMAL
33,57,,user33@example.com,minimal
34,,2023-12-09,user34@example.com,MAXIMAL
35,,2024-03-24,user35@example.com,
36,,2023-01-28,,
37,,2024-03-01,user37@example.com,
38,46,2023-05-27,user38@example.com,MINIMAL
39,,2023-08-05,user39@example.com,maximal
40,56,2023-01-10,user40@example.com,MAXIMAL
41,,2023-07-04,user41@example.com,flexible
42,26,2024-06-17,user42@example.com,regular
43,44,2023-08-16,user43@example.com,MAXIMAL
44,,2024-02-12,user44@example.com,flexible
45,24,2023-03-30,user45@example.com,
46,53,2023-07-27,user46@example.com,Flexible
47,,2024-03-31,user47@example.com,MAXIMAL
48,50,2023-07-20,user48@example.com,MINIMAL
49,,2023-12-26,user49@example.com,minimal
50,,2023-08-20,user50@example.com,flexible
51,,2023-05-20,,MAXIMAL
52,52,2023-12-20,user52@example.com,flexible
53,,2023-07-15,user53@example.com,maximal
54,,2024-01-15,user54@example.com,maximal
55,,2024-01-09,user55@example.com,minimal
56,,2023-07-11,user56@example.com,
57,,2023-08-16,user57@example.com,
58,45,2023-09-06,user58@example.com,regular
59,39,2024-04-13,user59@example.com,minimal
60,,2023-02-22,user60@example.com,minimal
61,24,2023-04-20,user61@example.com,MINIMAL
62,,2023-03-22,user62@example.com,
63,,2024-02-23,user63@example.com,
64,42,2023-11-10,user64@example.com,minimal
65,,2023-12-04,user65@example.com,
66,,2023-03-05,user66@example.com,maximal
67,56,2023-11-09,user67@example.com,MINIMAL
68,,2023-05-31,user68@example.com,Flexible
69,21,2024-02-25,user69@example.com,
70,29,2024-01-14,user70@example.com,
71,55,2024-02-25,user71@example.com,Flexible
72,36,2023-07-30,user72@example.com,MAXIMAL
73,,2023-05-25,user73@example.com,flexible
74,,2023-02-23,user74@example.com,
75,,2023-03-23,user75@example.com,MAXIMAL
76,53,2024-02-17,user76@example.com,flexible
77,,2023-07-17,user77@example.com,MAXIMAL
78,,2023-06-04,user78@example.com,MINIMAL
79,58,2023-10-23,user79@example.com,maximal
80,,2024-06-17,user80@example.com,MINIMAL
81,,2024-02-17,user81@example.com,regular
82,27,2024-01-24,user82@example.com,minimal
83,,2023-01-24,user83@example.com,minimal
84,57,2024-05-25,,Flexible
85,41,2023-09-04,user85@example.com,Flexible
86,54,2023-08-03,user86@example.com,Flexible
87,36,2023-04-06,user87@example.com,flexible
88,28,2023-10-05,user88@example.com,Flexible
89,,2023-11-04,,
